ID,ログインID名,ログインパスワード,名前,承認フラグ,削除フラグ,登録日時,修正日時
id,login_id,password,name,approved,deleted,created_ts,modified_ts
1,hackerz.root@gmail.com,root,root,1,0,2017-12-27 12:24:12,2017-12-27 12:24:12
2,hackerz.sudo@gmail.com,sudo,sudo,1,0,2017-12-27 12:24:13,2017-12-27 12:24:13
3,hackerz.admin@gmail.com,admin,admin,1,0,2017-12-27 12:24:14,2017-12-27 12:24:14
4,hackerz.general@gmail.com,general,general,1,0,2017-12-27 12:24:15,2017-12-27 12:24:15
5,hackerz.guest@gmail.com,guest,guest,1,0,2017-12-27 12:24:16,2017-12-27 12:24:16
6,hackerz.osomatu@gmail.com,osomatu,おそまつ,1,0,2017-12-27 12:24:17,2017-12-27 12:24:17
7,hackerz.karamatu@gmail.com,karamatu,からまつ,1,0,2017-12-27 12:24:18,2017-12-27 12:24:18
8,hackerz.tyoromatu@gmail.com,tyoromatu,ちょろまつ,1,0,2017-12-27 12:24:19,2017-12-27 12:24:19
9,hackerz.itimatu@gmail.com,itimatu,いちまつ,1,0,2017-12-27 12:24:20,2017-12-27 12:24:20
10,hackerz.zyuusimatu@gmail.com,zyuusimatu,じゅうしまつ,1,0,2017-12-27 12:24:21,2017-12-27 12:24:21
11,hackerz.todomatu@gmail.com,todomatu,とどまつ,1,1,2017-12-27 12:24:22,2017-12-27 12:24:22
